2024-11-03 at 23:13:35 | INFO | Experiment directory created at results/col/008-MedSora-B
2024-11-03 at 23:13:46 | INFO | MedSora Parameters: 86,466,304
2024-11-03 at 23:13:46 | INFO | Use half-precision training? False
2024-11-03 at 23:13:46 | INFO | Use covariance to guide training? True
2024-11-03 at 23:13:46 | INFO | Use local attention to guide training? True
2024-11-03 at 23:13:46 | INFO | Use margin? True
2024-11-03 at 23:13:46 | INFO | Dataset contains 36559.
2024-11-03 at 23:13:46 | INFO | Training for 300 epochs...
2024-11-03 at 23:13:46 | INFO | Beginning epoch 0...
2024-11-03 at 23:14:25 | INFO | (0.0%) (step=0000010) Train Loss: 0.9801, Noise Loss: 0.9801, Cov Loss_: 0.0027, Cov Loss**: 0.0000, Gradient Norm: 0.5979, Train Steps/Sec: 0.26
2024-11-03 at 23:14:35 | INFO | (0.1%) (step=0000020) Train Loss: 0.9380, Noise Loss: 0.9378, Cov Loss_: 0.0068, Cov Loss**: 0.0021, Gradient Norm: 0.3093, Train Steps/Sec: 0.95
2024-11-03 at 23:14:46 | INFO | (0.1%) (step=0000030) Train Loss: 0.8586, Noise Loss: 0.8575, Cov Loss_: 0.0143, Cov Loss**: 0.0114, Gradient Norm: 0.3686, Train Steps/Sec: 0.95
2024-11-03 at 23:14:56 | INFO | (0.1%) (step=0000040) Train Loss: 0.7182, Noise Loss: 0.7182, Cov Loss_: 0.0020, Cov Loss**: 0.0000, Gradient Norm: 0.6308, Train Steps/Sec: 0.95
2024-11-03 at 23:15:07 | INFO | (0.1%) (step=0000050) Train Loss: 0.6831, Noise Loss: 0.6828, Cov Loss_: 0.0071, Cov Loss**: 0.0034, Gradient Norm: 0.6334, Train Steps/Sec: 0.95
2024-11-03 at 23:15:17 | INFO | (0.2%) (step=0000060) Train Loss: 0.5220, Noise Loss: 0.5220, Cov Loss_: 0.0033, Cov Loss**: 0.0006, Gradient Norm: 0.6875, Train Steps/Sec: 0.96
2024-11-03 at 23:15:27 | INFO | (0.2%) (step=0000070) Train Loss: 0.3358, Noise Loss: 0.3358, Cov Loss_: 0.0026, Cov Loss**: 0.0000, Gradient Norm: 0.7210, Train Steps/Sec: 0.97
2024-11-03 at 23:15:38 | INFO | (0.2%) (step=0000080) Train Loss: 0.2527, Noise Loss: 0.2526, Cov Loss_: 0.0035, Cov Loss**: 0.0006, Gradient Norm: 1.8706, Train Steps/Sec: 0.94
2024-11-03 at 23:15:48 | INFO | (0.2%) (step=0000090) Train Loss: 0.2192, Noise Loss: 0.2192, Cov Loss_: 0.0028, Cov Loss**: 0.0000, Gradient Norm: 1.3331, Train Steps/Sec: 0.96
2024-11-03 at 23:15:59 | INFO | (0.3%) (step=0000100) Train Loss: 0.2458, Noise Loss: 0.2458, Cov Loss_: 0.0030, Cov Loss**: 0.0000, Gradient Norm: 0.8121, Train Steps/Sec: 0.97
2024-11-03 at 23:16:09 | INFO | (0.3%) (step=0000110) Train Loss: 0.0829, Noise Loss: 0.0829, Cov Loss_: 0.0015, Cov Loss**: 0.0000, Gradient Norm: 0.4105, Train Steps/Sec: 0.97
2024-11-03 at 23:16:20 | INFO | (0.3%) (step=0000120) Train Loss: 0.3023, Noise Loss: 0.3021, Cov Loss_: 0.0063, Cov Loss**: 0.0023, Gradient Norm: 1.3330, Train Steps/Sec: 0.93
2024-11-03 at 23:16:30 | INFO | (0.4%) (step=0000130) Train Loss: 0.3288, Noise Loss: 0.3277, Cov Loss_: 0.0149, Cov Loss**: 0.0112, Gradient Norm: 1.7596, Train Steps/Sec: 0.94
2024-11-03 at 23:16:41 | INFO | (0.4%) (step=0000140) Train Loss: 0.2906, Noise Loss: 0.2895, Cov Loss_: 0.0139, Cov Loss**: 0.0104, Gradient Norm: 0.8772, Train Steps/Sec: 0.92
2024-11-03 at 23:16:52 | INFO | (0.4%) (step=0000150) Train Loss: 0.2239, Noise Loss: 0.2238, Cov Loss_: 0.0042, Cov Loss**: 0.0009, Gradient Norm: 0.7436, Train Steps/Sec: 0.95
2024-11-03 at 23:17:02 | INFO | (0.4%) (step=0000160) Train Loss: 0.1424, Noise Loss: 0.1424, Cov Loss_: 0.0026, Cov Loss**: 0.0000, Gradient Norm: 0.4729, Train Steps/Sec: 0.95
2024-11-03 at 23:17:13 | INFO | (0.5%) (step=0000170) Train Loss: 0.1262, Noise Loss: 0.1262, Cov Loss_: 0.0025, Cov Loss**: 0.0000, Gradient Norm: 0.3365, Train Steps/Sec: 0.97
2024-11-03 at 23:17:23 | INFO | (0.5%) (step=0000180) Train Loss: 0.0873, Noise Loss: 0.0873, Cov Loss_: 0.0022, Cov Loss**: 0.0000, Gradient Norm: 0.2473, Train Steps/Sec: 0.96
2024-11-03 at 23:17:33 | INFO | (0.5%) (step=0000190) Train Loss: 0.0859, Noise Loss: 0.0859, Cov Loss_: 0.0021, Cov Loss**: 0.0000, Gradient Norm: 0.7508, Train Steps/Sec: 0.96
2024-11-03 at 23:17:44 | INFO | (0.5%) (step=0000200) Train Loss: 0.3274, Noise Loss: 0.3248, Cov Loss_: 0.0297, Cov Loss**: 0.0260, Gradient Norm: 0.3150, Train Steps/Sec: 0.94
2024-11-03 at 23:17:54 | INFO | (0.6%) (step=0000210) Train Loss: 0.2614, Noise Loss: 0.2613, Cov Loss_: 0.0045, Cov Loss**: 0.0004, Gradient Norm: 1.0592, Train Steps/Sec: 0.99
2024-11-03 at 23:18:04 | INFO | (0.6%) (step=0000220) Train Loss: 0.1634, Noise Loss: 0.1634, Cov Loss_: 0.0032, Cov Loss**: 0.0001, Gradient Norm: 0.4085, Train Steps/Sec: 1.00
